date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:11:59	123217/123217	---M--	200	added ('OK')	image/jpeg	etag:%225f9fc682-1e151%22	https://html.merku.love/shelly/assets/img/img7.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/img7.jpg	(from https://html.merku.love/shelly/)
08:11:59	118431/118431	---M--	200	added ('OK')	image/jpeg	etag:%225f9fc67f-1ce9f%22	https://html.merku.love/shelly/assets/img/img5.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/img5.jpg	(from https://html.merku.love/shelly/)
08:12:00	1000/1000	---M--	200	added ('OK')	image/png	etag:%225f9c887a-3e8%22	https://html.merku.love/shelly/assets/img/icon11.png	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/icon11.png	(from https://html.merku.love/shelly/)
08:12:00	115761/115761	---M--	200	added ('OK')	image/jpeg	etag:%225f9fc684-1c431%22	https://html.merku.love/shelly/assets/img/img8.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/img8.jpg	(from https://html.merku.love/shelly/)
08:12:01	329/329	---M--	200	added ('OK')	image/png	etag:%225f9c887a-149%22	https://html.merku.love/shelly/assets/img/icon12.png	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/icon12.png	(from https://html.merku.love/shelly/)
08:12:01	1524/1524	---M--	200	added ('OK')	image/png	etag:%225f9c887a-5f4%22	https://html.merku.love/shelly/assets/img/ico2.png	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/ico2.png	(from https://html.merku.love/shelly/)
08:12:01	79520/79520	---M--	200	added ('OK')	image/png	etag:%225f9c886e-136a0%22	https://html.merku.love/shelly/assets/img/course-img.png	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/course-img.png	(from https://html.merku.love/shelly/)
08:12:01	305/305	---M--	200	added ('OK')	image/png	etag:%225f9c8896-131%22	https://html.merku.love/shelly/assets/img/loct.png	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/loct.png	(from https://html.merku.love/shelly/)
08:12:02	296/296	---M--	200	added ('OK')	image/png	etag:%225f9c887c-128%22	https://html.merku.love/shelly/assets/img/icon13.png	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/icon13.png	(from https://html.merku.love/shelly/)
08:12:02	59824/59824	---M--	200	added ('OK')	image/jpeg	etag:%225fa14924-e9b0%22	https://html.merku.love/shelly/assets/img/blog1.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/blog1.jpg	(from https://html.merku.love/shelly/)
08:12:02	78220/78220	---M--	200	added ('OK')	image/jpeg	etag:%225fa14926-1318c%22	https://html.merku.love/shelly/assets/img/blog2.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/blog2.jpg	(from https://html.merku.love/shelly/)
08:12:02	441721/441721	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f9fca37-6bd79%22	https://html.merku.love/shelly/assets/js/bundle.min.js	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/js/bundle.min.js	(from https://html.merku.love/shelly/)
08:12:03	80518/80518	---M--	200	added ('OK')	image/jpeg	etag:%225fa14924-13a86%22	https://html.merku.love/shelly/assets/img/blog3.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/blog3.jpg	(from https://html.merku.love/shelly/)
08:12:03	7698/7698	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fa3b6c4-1e12%22	https://html.merku.love/shelly/assets/js/button.min.js	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/js/button.min.js	(from https://html.merku.love/shelly/)
08:12:03	215/215	---M--	302	error ('Found')	text/html	date:Tue,%2021%20Jan%202025%2001:12:02%20GMT	https://html.merku.love/shelly/assets/css/fonts/slick.eot	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/css/fonts/slick.eot	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:04	215/215	---M--	302	error ('Found')	text/html	date:Tue,%2021%20Jan%202025%2001:12:02%20GMT	https://html.merku.love/shelly/assets/css/fonts/slick.eot?	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/css/fonts/slickd41d.eot	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:04	215/215	---M--	302	error ('Found')	text/html	date:Tue,%2021%20Jan%202025%2001:12:03%20GMT	https://html.merku.love/shelly/assets/css/fonts/slick.woff	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/css/fonts/slick.woff	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:04	215/215	---M--	302	error ('Found')	text/html	date:Tue,%2021%20Jan%202025%2001:12:03%20GMT	https://html.merku.love/shelly/assets/css/fonts/slick.ttf	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/css/fonts/slick.ttf	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:04	215/215	---M--	302	error ('Found')	text/html	date:Tue,%2021%20Jan%202025%2001:12:03%20GMT	https://html.merku.love/shelly/assets/css/fonts/slick.svg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/css/fonts/slick.svg	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:05	34350/34350	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22862e-5b31bf3520bde%22	https://html.merku.love/shelly/assets/webfonts/fa-regular-400.eot	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-regular-400.eot	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:05	34350/34350	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22862e-5b31bf3520bde%22	https://html.merku.love/shelly/assets/webfonts/fa-regular-400.eot?	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-regular-400d41d.eot	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:05	13576/13576	---M--	200	added ('OK')	font/woff2	etag:%225f9fca37-3508%22	https://html.merku.love/shelly/assets/webfonts/fa-regular-400.woff2	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-regular-400.woff2	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:06	16776/16776	---M--	200	added ('OK')	font/woff	etag:%225f9fca37-4188%22	https://html.merku.love/shelly/assets/webfonts/fa-regular-400.woff	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-regular-400.woff	(from https://html.merku.love/shelly/assets/css/main.min.css)
08:12:06	34052/34052	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225f9fca37-8504%22	https://html.merku.love/shelly/assets/webfonts/fa-regular-400.ttf	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/webfonts/fa-regular-400.ttf	(from https://html.merku.love/shelly/assets/css/main.min.css)
